0,Brooks Koepka
1,Rory McIlroy
2,Matt Kuchar
3,Patrick Cantlay
4,Gary Woodland
5,Xander Schauffele
6,Dustin Johnson
7,Justin Thomas
8,Jon Rahm
9,Webb Simpson
10,Justin Rose
11,Tony Finau
12,Paul Casey
13,Adam Scott
14,Rickie Fowler
15,Marc Leishman
16,Tommy Fleetwood
17,Chez Reavie
18,Patrick Reed
19,Shane Lowry
20,Kevin Kisner
21,Francesco Molinari
22,Hideki Matsuyama
23,Tiger Woods
24,Bryson DeChambeau
25,Brandt Snedeker
26,Charles Howell III
27,Corey Conners
28,Ryan Palmer
29,Sungjae Im
30,Sung Kang
31,Abraham Ancer
32,Scott Piercy
33,Jim Furyk
34,Jason Day
35,Lucas Glover
36,Louis Oosthuizen
37,J.T. Poston
38,Phil Mickelson
39,Andrew Putnam
40,Keith Mitchell
41,Rory Sabbatini
42,C.T. Pan
43,Jason Kokrak
44,Kevin Tway
45,Kevin Na
46,Si Woo Kim
47,Billy Horschel
48,Ian Poulter
49,J.B. Holmes
50,Jordan Spieth
51,Max Homa
52,Adam Hadwin
53,Nate Lashley
54,Byeong-Hun An
55,Joel Dahmen
56,Rafael Cabrera Bello
57,Keegan Bradley
58,Ryan Moore
59,Sergio Garcia
60,Collin Morikawa
61,Emiliano Grillo
62,Vaughn Taylor
63,Cameron Champ
64,Graeme McDowell
65,Adam Long
66,Kiradech Aphibarnrat
67,Kevin Streelman
68,Dylan Frittelli
69,Jhonattan Vegas
70,Bubba Watson
71,Matthew Fitzpatrick
72,Harold Varner III
73,Troy Merritt
74,Danny Lee
75,Tyrrell Hatton
76,Cameron Smith
77,Charley Hoffman
78,Joaquin Niemann
79,Matt Every
80,Chesson Hadley
81,Henrik Stenson
82,Luke List
83,Matthew Wolff
84,Branden Grace
85,Brian Harman
86,Brian Stuard
87,Michael Thompson
88,Danny Willett
89,Wyndham Clark
90,Adam Schenk
91,J.J. Spaun
92,Russell Henley
93,Russell Knox
94,Kyle Stanley
95,Sam Burns
96,Pat Perez
97,Bud Cauley
98,Scott Stallings
99,Chris Stroud
100,Carlos Ortiz
101,Talor Gooch
102,Kyoung-Hoon Lee
103,Sam Ryder
104,Aaron Wise
105,Cameron Tringale
106,Patrick Rodgers
107,Brian Gay
108,Matt Jones
109,Mackenzie Hughes
110,Brice Garnett
111,Roger Sloan
112,Nick Watney
113,Scott Brown
114,Patton Kizzire
115,Ryan Armour
116,Sebastian Munoz
117,Sepp Straka
118,Jason Dufner
119,Denny McCarthy
120,Alexander Noren
121,Kelly Kraft
122,Aaron Baddeley
123,Nick Taylor
124,Andrew Landry
125,Martin Kaymer
126,Peter Malnati
127,Martin Laird
128,Wes Roach
129,Richy Werenski
130,Peter Uihlein
131,Jonas Blixt
132,Austin Cook
133,Bronson Burgoon
134,Shawn Stefani
135,Robert Streb
136,Seamus Power
137,Ted Potter Jr.
138,Ryan Blaum
139,Zack Sucher
140,Daniel Berger
141,Bill Haas
142,Martin Trainer
143,Jim Herman
144,Roberto Castro
145,Dominic Bozzelli
146,Josh Teater
147,Hank Lebioda
148,Beau Hossler
149,Scott Langley
150,Harris English
151,Stephan Jaeger
152,Roberto Diaz
153,Zach Johnson
154,Johnson Wagner
155,Tyler Duncan
156,Lucas Bjerregaard
157,Jimmy Walker
158,Tom Hoge
159,Chase Wright
160,Jonathan Byrd
161,Hudson Swafford
162,Trey Mullinax
163,Brendan Steele
164,D.J. Trahan
165,Brandon Harkins
166,Kramer Hickok
167,Jim Knous
168,Cameron Davis
169,Alex Prugh
170,Joey Garber
171,Anders Albertson
172,Fabian Gomez
173,Curtis Luck
174,Satoshi Kodaira
175,Anirban Lahiri
176,Sam Saunders
177,Ollie Schniederjans
178,Adam Svensson
179,David Hearn
180,Jose de Jesus Rodriguez
181,Stewart Cink
182,Julian Etulain
183,Seth Reeves
184,Benjamin Silverman
185,John Chin
186,Whee Kim
187,Hunter Mahan
188,Luke Donald
189,Kyle Jones
190,Davis Love III
191,Chris Kirk
192,Kevin Chappell
193,Brendon Todd
194,Cody Gribble
195,Billy Hurley III
196,Charl Schwartzel
197,Nicholas Lindheim
198,Brady Schnell
199,Sean O'Hair
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
PlayerID,"RangeIndex(start=430, stop=647, step=1)"
